"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2417","deep link lands projects nearest to top","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:33 EDT 2025","","sections.viewport.spec.ts","",""
"","2467","deep link lands skills nearest to top","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:34 EDT 2025","","sections.viewport.spec.ts","",""
"","5417","nav click -> projects","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","navigation.smoke.spec.ts","",""
"","5421","projects section has no serious/critical violations @a11y","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","5902","skills section has no serious/critical violations @a11y","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","failed","Mon Sep 22 16:21:28 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","5452","deep link lands skills nearest to top","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","sections.viewport.spec.ts","",""
"","3370","nav click -> about","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:35 EDT 2025","","navigation.smoke.spec.ts","",""
"","3324","skills section has no serious/critical violations @a11y","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","failed","Mon Sep 22 16:21:34 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","2987","nav click -> skills","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:34 EDT 2025","","navigation.smoke.spec.ts","",""
"","3252","contact section has no serious/critical violations @a11y","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","failed","Mon Sep 22 16:21:34 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","651","home first contentful paint under 2.5s on cold load (CI env)","Mobile Safari","Mon Sep 22 16:21:30 EDT 2025","passed","Mon Sep 22 16:21:31 EDT 2025","","perf.budget.spec.ts","",""
"","5481","deep link lands contact nearest to top","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","sections.viewport.spec.ts","",""
"","5587","nav click -> skills","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","navigation.smoke.spec.ts","",""
"","2479","deep link lands contact nearest to top","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","passed","Mon Sep 22 16:21:34 EDT 2025","","sections.viewport.spec.ts","",""
"","3147","about section has no serious/critical violations @a11y","Mobile Safari","Mon Sep 22 16:21:31 EDT 2025","failed","Mon Sep 22 16:21:34 EDT 2025","Accessibility @a11y","a11y.spec.ts","",""
"","5489","deep link lands projects nearest to top","Desktop Chrome","Mon Sep 22 16:21:22 EDT 2025","passed","Mon Sep 22 16:21:28 EDT 2025","","sections.viewport.spec.ts","",""
