"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","955","skills section has no serious/critical violations @a11y","A11Y","Tue Sep 23 19:29:23 UTC 2025","failed","Tue Sep 23 19:29:24 UTC 2025","@a11y accessibility suite","a11y/a11y.spec.ts","",""
"","332","deep link lands projects nearest to top","Mobile E2E","Tue Sep 23 19:27:32 UTC 2025","passed","Tue Sep 23 19:27:32 UTC 2025","","e2e/specs/sections.viewport.spec.ts","",""
"","550","nav click -> skills","Mobile E2E","Tue Sep 23 19:27:31 UTC 2025","passed","Tue Sep 23 19:27:31 UTC 2025","","e2e/specs/navigation.smoke.spec.ts","",""
"","458","nav click -> contact","Mobile E2E","Tue Sep 23 19:27:31 UTC 2025","passed","Tue Sep 23 19:27:32 UTC 2025","","e2e/specs/navigation.smoke.spec.ts","",""
"","906","about section has no serious/critical violations @a11y","A11Y","Tue Sep 23 19:29:20 UTC 2025","failed","Tue Sep 23 19:29:21 UTC 2025","@a11y accessibility suite","a11y/a11y.spec.ts","",""
"","616","nav click -> about","Desktop E2E","Tue Sep 23 19:27:42 UTC 2025","passed","Tue Sep 23 19:27:42 UTC 2025","","e2e/specs/navigation.smoke.spec.ts","",""
"","45","desktop 1280px","Visual Mobile","Tue Sep 23 19:28:33 UTC 2025","skipped","Tue Sep 23 19:28:33 UTC 2025","home visual (light)","visual/visual.home.spec.ts","",""
"","669","nav click -> projects","Mobile E2E","Tue Sep 23 19:27:30 UTC 2025","passed","Tue Sep 23 19:27:31 UTC 2025","","e2e/specs/navigation.smoke.spec.ts","",""
"","1277","badges layout: all-success (light)","Visual Desktop","Tue Sep 23 19:28:25 UTC 2025","failed","Tue Sep 23 19:28:26 UTC 2025","status cards visual states (deterministic)","visual/visual.status-cards.spec.ts","",""
"","875","valid submission shows success toast","Desktop E2E","Tue Sep 23 19:27:40 UTC 2025","passed","Tue Sep 23 19:27:41 UTC 2025","","e2e/specs/contact.form.spec.ts","",""
"","358","deep link lands about nearest to top","Mobile E2E","Tue Sep 23 19:27:32 UTC 2025","passed","Tue Sep 23 19:27:32 UTC 2025","","e2e/specs/sections.viewport.spec.ts","",""
"","379","deep link lands projects nearest to top","Desktop E2E","Tue Sep 23 19:27:44 UTC 2025","passed","Tue Sep 23 19:27:45 UTC 2025","","e2e/specs/sections.viewport.spec.ts","",""
"","42","desktop 1280px","Visual Mobile","Tue Sep 23 19:28:34 UTC 2025","skipped","Tue Sep 23 19:28:34 UTC 2025","home visual (dark)","visual/visual.home.spec.ts","",""
"","585","no broken links on home (http/https only) + valid anchors","Desktop E2E","Tue Sep 23 19:27:40 UTC 2025","passed","Tue Sep 23 19:27:41 UTC 2025","","e2e/specs/links.home.spec.ts","",""
"","930","valid submission shows success toast","Mobile E2E","Tue Sep 23 19:27:28 UTC 2025","passed","Tue Sep 23 19:27:29 UTC 2025","","e2e/specs/contact.form.spec.ts","",""
